num_vars,num_clausulas,ratio_c_v,n_problemas,dur_media_antiguo_s,dur_media_nuevo_s,speedup_medio,sat_ratio_media_antiguo,sat_ratio_media_nuevo,pct_optima_antiguo,pct_optima_nuevo
10,10,1.0,50,0.035376,0.039623,0.9437,1.0,1.0,100.0,100.0
10,20,2.0,50,0.032477,0.031936,1.0261,0.983,0.983,66.0,66.0
10,30,3.0,50,0.035124,0.034401,1.0264,0.9467,0.9467,4.0,4.0
10,40,4.0,50,0.043398,0.0361,1.211,0.923,0.923,4.0,4.0
10,50,5.0,50,0.037433,0.03493,1.0722,0.9096,0.9096,0.0,0.0
10,60,6.0,50,0.036546,0.036191,1.0193,0.8957,0.8957,0.0,0.0
10,70,7.0,50,0.035573,0.036237,0.986,0.8828,0.8828,0.0,0.0
10,80,8.0,50,0.036347,0.038843,0.9512,0.8758,0.8758,0.0,0.0
10,90,9.0,50,0.036128,0.036226,1.0027,0.8711,0.8711,0.0,0.0
10,100,10.0,50,0.046402,0.037216,1.258,0.8642,0.8642,0.0,0.0
20,20,1.0,50,0.055702,0.05607,0.9958,1.0,1.0,100.0,100.0
20,30,1.5,50,0.061749,0.059365,1.0439,0.9953,0.9953,86.0,86.0
20,40,2.0,50,0.063359,0.060707,1.0454,0.9785,0.9785,32.0,32.0
20,50,2.5,50,0.073086,0.063525,1.1509,0.9592,0.9592,6.0,6.0
20,60,3.0,50,0.06625,0.064823,1.0249,0.9497,0.9497,0.0,0.0
20,70,3.5,50,0.065929,0.06512,1.0148,0.934,0.934,0.0,0.0
20,80,4.0,50,0.067071,0.066859,1.0039,0.925,0.925,0.0,0.0
20,90,4.5,50,0.067883,0.066873,1.017,0.9182,0.9182,0.0,0.0
20,100,5.0,50,0.069405,0.06849,1.0147,0.9094,0.9094,0.0,0.0
30,30,1.0,50,0.082803,0.082646,1.0029,1.0,1.0,100.0,100.0
30,40,1.3333,50,0.089096,0.087191,1.0206,0.997,0.997,88.0,88.0
30,50,1.6667,50,0.093436,0.088426,1.0574,0.9876,0.9876,42.0,42.0
30,60,2.0,50,0.091588,0.095302,0.9686,0.979,0.979,18.0,18.0
30,70,2.3333,50,0.093935,0.093197,1.0118,0.9748,0.9748,8.0,8.0
30,80,2.6667,50,0.095412,0.094492,1.0132,0.9585,0.9585,2.0,2.0
30,90,3.0,50,0.095591,0.094461,1.0152,0.952,0.952,0.0,0.0
30,100,3.3333,50,0.09667,0.095469,1.016,0.9406,0.9406,0.0,0.0
40,40,1.0,50,0.110573,0.108972,1.0141,1.0,1.0,100.0,100.0
40,50,1.25,50,0.116753,0.114202,1.0235,1.0,1.0,100.0,100.0
40,60,1.5,50,0.118618,0.117053,1.0173,0.994,0.994,68.0,68.0
40,70,1.75,50,0.121164,0.119157,1.0179,0.9866,0.9866,30.0,30.0
40,80,2.0,50,0.122763,0.121648,1.0084,0.982,0.982,20.0,20.0
40,90,2.25,50,0.122443,0.130185,0.9538,0.9725,0.9725,2.0,2.0
40,100,2.5,50,0.125807,0.123364,1.0207,0.9636,0.9636,0.0,0.0
50,50,1.0,50,0.137445,0.138746,0.9946,1.0,1.0,100.0,100.0
50,60,1.2,50,0.14222,0.147321,0.9685,0.999,0.999,94.0,94.0
50,70,1.4,50,0.146282,0.144423,1.0124,0.9977,0.9977,86.0,86.0
50,80,1.6,50,0.148446,0.14781,1.0044,0.9938,0.9938,56.0,56.0
50,90,1.8,50,0.152053,0.148822,1.0215,0.9862,0.9862,20.0,20.0
50,100,2.0,50,0.152556,0.152737,0.9986,0.9798,0.9798,2.0,2.0
60,60,1.0,50,0.164096,0.167497,0.9807,1.0,1.0,100.0,100.0
60,70,1.1667,50,0.167847,0.171486,0.9777,1.0,1.0,100.0,100.0
60,80,1.3333,50,0.172257,0.172672,0.9976,0.9983,0.9983,86.0,86.0
60,90,1.5,50,0.176385,0.177145,0.9961,0.9951,0.9951,62.0,62.0
60,100,1.6667,50,0.178775,0.183511,0.978,0.9882,0.9882,20.0,20.0
70,70,1.0,50,0.193354,0.18969,1.0201,1.0,1.0,100.0,100.0
70,80,1.1429,50,0.19886,0.196676,1.0108,0.9995,0.9995,96.0,96.0
70,90,1.2857,50,0.202007,0.201014,1.007,0.9993,0.9993,94.0,94.0
70,100,1.4286,50,0.204243,0.213945,0.964,0.9982,0.9982,82.0,82.0
80,80,1.0,50,0.220725,0.216276,1.0204,1.0,1.0,100.0,100.0
80,90,1.125,50,0.22696,0.221412,1.0246,0.9998,0.9998,98.0,98.0
80,100,1.25,50,0.230068,0.231906,0.996,0.9988,0.9988,88.0,88.0
90,90,1.0,50,0.245641,0.243143,1.0096,1.0,1.0,100.0,100.0
90,100,1.1111,50,0.253227,0.248429,1.0189,0.9998,0.9998,98.0,98.0
100,100,1.0,50,0.274999,0.278001,0.992,1.0,1.0,100.0,100.0
